date,OIL,CPI,USD,FED,IND
2006-01-31,63.19,199.3,99.4311,4.29,98.1999
2006-02-28,59.78,199.4,99.7695,4.49,98.2413
2006-03-31,66.06,199.7,100.56,4.59,98.4628
2006-04-30,72.15,200.7,98.1412,4.79,98.7618
2006-05-31,67.57,201.3,97.7705,4.94,98.7869
2006-06-30,73.2,201.8,98.2483,4.99,99.0997
2006-07-31,74.75,202.9,97.9996,5.24,99.0489
2006-08-31,67.66,203.8,97.644,5.25,99.4836
2006-09-30,59.09,202.8,98.1054,5.25,99.3183
2006-10-31,56.13,201.9,97.3901,5.25,99.2044
2006-11-30,64.36,202.0,96.5779,5.25,99.1627
2006-12-31,58.96,203.1,97.0312,5.24,100.1735
2007-01-31,56.52,203.437,97.964,5.25,99.8346
2007-02-28,59.39,204.226,97.2386,5.26,100.7753
2007-03-31,68.47,205.288,96.3183,5.26,100.9547
2007-04-30,67.23,205.904,94.8365,5.25,101.6334
2007-05-31,68.18,206.755,94.3215,5.25,101.7306
2007-06-30,72.22,207.234,94.1393,5.25,101.7893
2007-07-31,77.01,207.603,93.4264,5.26,101.6672
2007-08-31,72.29,207.667,93.6674,5.02,101.863
2007-09-30,80.97,208.547,90.9446,4.94,102.0894
2007-10-31,89.87,209.19,89.1389,4.76,101.8015
2007-11-30,88.71,210.834,89.6212,4.49,102.3446
2007-12-31,93.68,211.445,89.6304,4.24,102.3803
2008-01-31,91.58,212.174,88.6547,3.94,102.2448
2008-02-29,100.9,212.687,87.1654,2.98,101.8438
2008-03-31,102.33,213.448,86.6881,2.61,101.5336
2008-04-30,111.12,213.942,86.8907,2.28,100.8785
2008-05-31,127.85,215.208,86.5504,1.98,100.2674
2008-06-30,138.4,217.463,86.7621,2.0,100.0335
2008-07-31,124.1,219.016,86.8567,2.01,99.676
2008-08-31,113.49,218.69,90.0567,2.0,98.1111
2008-09-30,93.52,218.877,92.3773,1.81,93.7895
2008-10-31,60.0,216.995,99.7662,0.97,94.7219
2008-11-30,47.72,213.153,101.6468,0.39,93.4715
2008-12-31,35.82,211.398,98.6518,0.16,90.8357
2009-01-31,44.17,211.933,102.1169,0.15,88.57
2009-02-28,44.41,212.705,104.9284,0.22,88.031
2009-03-31,46.13,212.495,102.3761,0.18,86.6528
2009-04-30,50.3,212.709,100.1042,0.15,85.9344
2009-05-31,64.98,213.022,95.268,0.18,85.0665
2009-06-30,68.11,214.79,96.3761,0.21,84.7459
2009-07-31,70.08,214.726,94.2526,0.16,85.7027
2009-08-31,69.02,215.445,94.6202,0.16,86.6426
2009-09-30,65.82,215.861,93.1907,0.15,87.4063
2009-10-31,74.91,216.509,92.6207,0.12,87.6419
2009-11-30,77.77,217.234,91.3717,0.12,88.0221
2009-12-31,77.91,217.347,92.9124,0.12,88.3793
2010-01-31,71.2,217.488,93.7638,0.11,89.3426
2010-02-28,76.36,217.281,93.6602,0.13,89.6779
2010-03-31,80.37,217.353,92.8987,0.16,90.2928
2010-04-30,86.19,217.403,92.8423,0.2,90.5991
2010-05-31,73.0,217.29,96.3062,0.2,91.823
2010-06-30,74.94,217.199,95.9934,0.18,91.9928
2010-07-31,77.5,217.605,93.2793,0.18,92.3421
2010-08-31,75.51,217.923,94.7204,0.19,92.6805
2010-09-30,80.77,218.275,91.3415,0.19,92.9537
2010-10-31,82.47,219.035,90.0935,0.19,92.6903
2010-11-30,86.02,219.59,92.1494,0.19,92.7709
2010-12-31,93.23,220.472,90.5146,0.18,93.6787
2011-01-31,98.97,221.187,89.694,0.17,93.4814
2011-02-28,112.27,221.898,88.9391,0.16,93.1102
2011-03-31,116.94,223.046,88.0299,0.14,94.0788
2011-04-30,126.59,224.093,85.5999,0.1,93.7749
2011-05-31,117.18,224.806,86.656,0.09,93.888
2011-06-30,111.71,224.806,86.4786,0.09,94.172
2011-07-31,115.93,225.395,85.7282,0.07,94.636
2011-08-31,116.48,226.106,86.7739,0.1,95.2749
2011-09-30,105.42,226.597,91.9998,0.08,95.1961
2011-10-31,108.43,226.75,89.2053,0.07,95.8568
2011-11-30,111.22,227.169,91.4728,0.08,95.8485
